System	LatexKey	sysKey	harvest URL	License	Paper	Paper Link	Link	Domain	Carrier	Description	Conceptual Model	Abstraction Mechanism	Source	Language Form	Coded Domain	Execution Model	Alt API Available	Extensible	Formal Definition Available	Language	Data manipulation	Provides Accessibility	Juxtaposition strategy	Allowed Data Type	Data model	Interaction source	Open Source	Dependent	Mark Types	Series Types	Output Type Descriptive	Output Type	Coordinate Systems	Annotation Support	Model Formality	Abstraction level	Paper Year	Relationships
AniVis	li2021anivis	anivis	Gathered from paper	Copyright belongs to author	AniVis: Generating Animated Transitions Between Statistical Charts with a Tree-Based Model	https://arxiv.org/pdf/2106.14313.pdf	N/A	Animation	JSON	A language for describing the animation between chart states.	Series-based	No	Academic	External	Interaction	Interpreted	No	No	No	JSON	More than filter	No	None	Standard Tabular	Data table	Application	No	No	n/a	bar charts, pie charts, line charts, and scatter plots	Animation	GUI Integrated Result	Standard	No	Colloquial	High	2021	
AntVSpec	antvSpec	antv-spec	https://github.com/antvis/antv-spec/tree/master/examples	MIT	N/A	N/A	https://github.com/antvis/antv-spec	Recommendation	JSON	A language for expressing a variety of chart types in the AntV ecosystem that is pliable to automated analyses.	Grammar	No	Industry	External	Domain	Compiled	No	No	Yes	JSON	None	No	Language	Standard Tabular	Data table, Graph	Compile Target	Yes	No	bar, line, arc, area, point, rect	n/a	GX Specs	Different Lang Spec	Stadard, Relational	No	Formal	High	N/A	Inspired by Vega-Lite
ApexCharts	ApexCharts	apexcharts	https://github.com/apexcharts/apexcharts.js/tree/master/samples/vanilla-js	MIT	N/A	N/A	https://apexcharts.com/	Charting	JSON	A language for creating a variety of charts, maps, and diagrams in the browser.	Series-based	No	Industry	Internal	Charting	Embedded	Yes	Yes	No	JSON	None	No	External	Standard Tabular	Series	Custom Runtime	Yes	No	n/a	line chart, area chart, bar chart, column chart, boxplot, candlestick, range bar chart, heat map chart, treemap chart, multi-axis chart, pie, donut, radar, radialbar, circular gauge, synchronized charts	SVG	Common Markup format	Standard	Yes	Colloquial	High	N/A	
Array visualization grammar	TiwariArrayVisualizationGrammar	array-visualization-grammar	https://github.com/clinckzone/array-visualization-grammar/blob/master/src/specifications/sample.js	None	N/A	N/A	https://github.com/clinckzone/array-visualization-grammar	Function visualization	JSON	A language for visualizing array transformation with animation.	Domain-specific	No	Open source	External	Chart Type	Compiled	No	No	No	JSON	None	No	None	Inline	Series	Application	Yes	No	text	n/a	Animation	GUI Integrated Result	Standard	No	Formal	High	N/A	
Atom	park2017atom	atom	https://github.com/intuinno/unit	None	Atom: A Grammar for Unit Visualizations	https://ieeexplore.ieee.org/abstract/document/8233127	https://github.com/intuinno/unit	Unit Visualizations	JSON	A language for displaying unit visualizations.	Domain-specific	No	Academic	External	Chart Type	Interpreted	No	No	Yes	JSON	Filtering	No	Language	Standard Tabular	Data table	N/A	Yes	No	circle, rect	n/a	SVG	Common Markup format	Domain Specific	No	Formal	High	2017	
Bertin	bertin2022	bertin	https://observablehq.com/@neocartocnrs/hello-bertin-js?collection=@neocartocnrs/bertin	MIT	N/A	N/A	https://github.com/neocarto/bertin	Maps	JS	A language for creating thematic maps on the web.	Series-based	No	Open source	Internal	Chart Type	Embedded	No	No	No	JSON embedded in JS	None	No	Spatial	Domain Specific	Series	Custom Runtime	Yes	No	n/a	geojson, choropleth, typology, bubble, stock + ratio, dorling cartogram, dots cartogram, spikes	SVG	Common Markup format	Standard	No	Colloquial	High	N/A	
Canis	ge2020canis	canis	https://github.com/canisjs/canis-editor	None	Canis: A High-Level Language for Data-Driven Chart Animations	https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.14005	https://github.com/canisjs/canis-editor	Animation	JSON	A language for animating SVGs that utilizes the Lottie animation language.	Domain-specific	Yes	Academic	External	Interaction	Compiled	No	No	Yes	JSON	None	No	Language	Domain Specific	Domain-Specific	N/A	Yes	Any svg element	n/a	n/a	Lottie	Different Lang Spec	Standard	No	Formal	Low	2020	
CFGConf	devkota2021cfgconf	cfgConf	https://github.com/hdc-arizona/cfgConf	MIT	CFGConf: Supporting high level requirements for visualizing Control Flow Graphs	https://arxiv.org/pdf/2108.03047.pdf	https://github.com/hdc-arizona/cfgConf	Control Flow Graphs	JSON	A language for describing visualizing flow graphs.	Domain-specific	No	Academic	External	Chart Type	Interpreted	No	No	Yes	JSON	Filters	No	None	Domain Specific	Graph	N/A	Yes	No	labeled rectangles, edges	n/a	SVG	Common Markup format	Relational	No	Formal	High	2021	
Chart.js	Chartjs	chart-js	https://github.com/chartjs/Chart.js	MIT	N/A	N/A	https://www.chartjs.org/	Charting	JS	A language for creating a variety of charts, maps, and diagrams in the browser.	Series-based	No	Industry	Internal	Charting	Embedded	No	Yes	No	JSON embedded in JS	None	Yes	External	Standard Tabular	Series	Custom Runtime	Yes	No	n/a	bar charts, line charts, bubble, combo bar/line, doughnut, multi series pie, pie, polar area, polar area centered point labels, radar, radar skip points, scatter, scatter - multi axis, stacked bar/line, area charts	Canvas / interactives	Common Markup format	Standard	No	Colloquial	High	N/A	
ChartML	saito2009client	ChartML	http://www.onsaito.com/csdv/chartMLchart.xhtml	Copyright belongs to onsaito	Client-Side Data Visualization	https://ieeexplore.ieee.org/abstract/document/5211550	http://www.onsaito.com/csdv/chartMLindex.xhtml	Charting	XML	A language for creating simple charts in browser.	Series-based	No	Industry	External	Charting	Compiled	No	No	Yes	XML	None	No	None	Inline, Standard Tabular	Data table	N/A	Yes	No	n/a	scatter (bubble) chart, bar chart, column chart, line chart	SVG	Common Markup format	Standard	No	Colloquial	High	2009	
